,beverage,yob,direct_correlation,indirect_correlation,same_correlation
398,juice,2015,0.279977528076066,0.18543770036584847,True
399,juice,2016,0.3320467569772057,0.1994848242581544,True
400,juice,2017,0.1956349243640891,0.17253228278487906,True
401,juice,2018,0.33500717012198017,0.13911882370027698,True
402,juice,2019,0.024730938665006426,0.16796660617135686,True
403,juice,2020,-0.14305215202914626,0.19023841737023106,False
404,milk,1920,0.6227896631208666,0.3990704658391327,True
405,milk,1921,0.5250683191703156,0.3662961029752785,True
406,milk,1922,0.5715162128744067,0.3386854961815361,True
407,milk,1923,0.624891868146391,0.3593990443317897,True
408,milk,1924,0.438186436083336,0.35425545212271137,True
409,milk,1925,0.5549056370411914,0.3859643170856282,True
410,milk,1926,0.6547209458781533,0.404816199991052,True
411,milk,1927,0.3924550770866126,0.35232035964633635,True
412,milk,1928,0.5363376127560949,0.3540475987894762,True
413,milk,1929,0.4762227604106009,0.3432459917321343,True
414,milk,1930,0.5394831844982356,0.3666837816105095,True
415,milk,1931,0.3723849626076885,0.36002713725304125,True
416,milk,1932,0.4280664622203775,0.3368190367333094,True
417,milk,1933,0.3146699503143537,0.3461603296028994,True
418,milk,1934,0.5568379605290215,0.3655211736240781,True
419,milk,1935,0.6833642995991952,0.3809450851247644,True
420,milk,1936,0.3775879511609028,0.35876377295452017,True
421,milk,1937,0.37390523149665816,0.34495133714759113,True
422,milk,1938,0.5516912878951423,0.3582952796623057,True
423,milk,1939,0.6732144396468233,0.30838281746392,True
424,milk,1940,0.4738487706411546,0.3280071859596507,True
425,milk,1941,0.2961144291332644,0.2858232359086889,True
426,milk,1942,0.33319694442349024,0.264445443891286,True
427,milk,1943,0.5042111499084897,0.2697765057186423,True
428,milk,1944,0.7518964233678689,0.29276630720935193,True
429,milk,1945,0.5486220712472636,0.3023343278069201,True
430,milk,1946,0.8323816690451135,0.2987013894204603,True
431,milk,1947,0.7125296323357442,0.2939092031959121,True
432,milk,1948,0.8992759905780509,0.30653472897794026,True
433,milk,1949,0.9164324936304162,0.28047793454601505,True
434,milk,1950,1.041242001198504,0.2980796795235789,True
435,milk,1951,0.8973856698411322,0.2816817402821717,True
436,milk,1952,0.8141907862278669,0.2801856019681304,True
437,milk,1953,0.6540614181472414,0.2886705836272165,True
438,milk,1954,0.8627464109573985,0.2504937892459103,True
439,milk,1955,0.7270988964843392,0.25343448073546515,True
440,milk,1956,0.8415194946867861,0.2544978195307676,True
441,milk,1957,0.9476299651818528,0.1999251811048652,True
442,milk,1958,0.7528643092671563,0.16818118760891268,True
443,milk,1959,0.8933090537298102,0.18591429850168734,True
444,milk,1960,0.7748167277327198,0.19986386446782534,True
445,milk,1961,0.5684797891841222,0.20903018619529212,True
446,milk,1962,0.6958674122179905,0.12168455745824415,True
447,milk,1963,0.760672975116024,0.17967934995962548,True
448,milk,1964,0.7357799688892136,0.13774159823925428,True
449,milk,1965,0.7380072824401175,0.12361181389128295,True
450,milk,1966,0.6738618655281442,0.08885232932393246,True
451,milk,1967,0.4347228448895251,0.009752464509199366,True
452,milk,1968,0.5437167647343827,0.034226651524630315,True
453,milk,1969,0.5759307036873137,-0.029401860000852632,False
454,milk,1970,0.7874292787464661,-0.031131270188901487,False
455,milk,1971,0.4551380238857987,-0.04705795037510259,False
456,milk,1972,0.3823316729408,-0.0207814813323044,False
457,milk,1973,0.3898824578143619,0.0020175947029838744,True
458,milk,1974,0.5808016443823528,0.003954199946872425,True
459,milk,1975,0.4287073004056388,-0.07184405538389932,False
460,milk,1976,0.3668837954383693,-0.07068034743889802,False
461,milk,1977,0.35578385203446056,-0.0975290310887354,False
462,milk,1978,0.5564060977490236,-0.11154938334636116,False
463,milk,1979,0.3807128954430628,-0.10049557510822263,False
464,milk,1980,0.1972318723869372,-0.2007131470985758,False
465,milk,1981,0.2076925160314521,-0.17181639890196604,False
466,milk,1982,0.3810087341972098,-0.14255612710841944,False
467,milk,1983,0.25781280895975434,-0.11597280769812128,False
468,milk,1984,0.19025195839374576,-0.10712290436897492,False
469,milk,1985,0.33396899309303146,-0.183832932718932,False
470,milk,1986,0.5599471677648169,-0.116780249175585,False
471,milk,1987,0.5025020128776028,-0.09186591352720204,False
472,milk,1988,0.4640217985625853,-0.15261947359468242,False
473,milk,1989,0.4779217390423901,-0.1519599631200973,False
474,milk,1990,0.7314802160921884,-0.1579491712309612,False
475,milk,1991,0.3604105077486863,-0.19530228272285455,False
476,milk,1992,0.38922808355621896,-0.16816822369666726,False
477,milk,1993,0.5204070666333503,-0.1685987708916176,False
478,milk,1994,0.7109105646705661,-0.12509195760009034,False
479,milk,1995,0.7109556395352246,-0.1577860027110832,False
480,milk,1996,0.6103639951233825,-0.1624454676320324,False
481,milk,1997,0.4166339507468491,-0.16675612987206828,False
482,milk,1998,0.7575568409278043,-0.18388691333437754,False
483,milk,1999,0.5695316997012354,-0.2397585540053983,False
484,milk,2000,0.5582202029983101,-0.19429759854597392,False
485,milk,2001,0.4383297123405026,-0.20651713488142534,False
486,milk,2002,0.37936901853902655,-0.18129066937281887,False
