index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Jim,-0.1772131677811187,0.27502389263855637,-0.05709361285880853,-0.06645631654773813,-0.01891728842240863,0.4408462388310634,-0.48775600136833136,0.23636546533147873,0.053405077370666264,-0.2930140368794314,-0.11743805068260686,0.3413132612983613,-0.2937350484231557,0.24014416776511002,-0.35459346120926327,0.14654060807473032,0.6075057515405948,-0.11548828839911293,2.677666236270628,-1.1526243717953557,-0.33500796038253666,1.5608934939991845,0.8048407698159386,-1.1654253944671755
Penny,0.6126395590679719,0.5206514415490848,0.6186357715104961,0.7133694711889325,0.9922344070000342,0.9130259290865521,-0.04978286665551169,0.9782076762772433,0.5242825476303022,0.02947928855260995,0.12195168816051838,0.46198891211728693,0.17092626499657193,0.4766895336476515,-0.07144258780687864,0.15813058264870497,0.5551639842970889,0.7540395747758173,1.017141124427502,-0.8792619113279198,-0.7455828674554855,-0.1823756123115678,0.1753786296575817,-1.9402508644612768
Cecil,-0.6793245970545492,0.018666479702811673,-0.25577316997809496,0.38027864628648284,-0.24785541132860295,-0.22602632130110809,-0.34049050140156273,-0.6201430807535542,-0.15907118738226425,-0.6163175575637397,-0.5957744605448291,-0.3010578619674333,-0.5369735839106003,0.09062024682460501,-1.145052959199054,-0.09028919438136222,-0.3953621324818563,0.02703241034237825,0.32487591860889914,-1.1730515159749655,-0.6761912503449162,0.9785086649900258,-0.09918369254346741,-1.8033356935612717
Howard,-0.07496897156763166,0.2744506828066774,-0.02342627449358006,-0.2731653448322625,0.17091691955127056,0.2995190001789395,-0.331722075270256,0.0430280470294219,-0.17439556720546204,-0.10790467527386856,-0.10523051616542499,0.3083971560739434,-0.20083390641571686,0.06606083428226782,-0.3058860794974722,0.07923242841802415,0.5162197574956516,0.08995398179803613,1.6444944255728353,-1.4595426413530317,-0.9945170441155878,0.2601692140448999,-0.4385932902485835,-2.0557299458592144
Paul,0.3727098212302139,0.23690700475489165,-0.10886587882676159,0.2982992737238523,0.49442122351788476,0.42350853816908696,-0.4273976381385179,0.39058396335934725,0.17283943414027025,0.10442017767847027,0.24227915728481175,0.519358629814916,0.5879620863600346,0.1879033011724612,0.1906920758808298,0.13450949546616964,0.4683667414538831,0.5327318370913362,3.1646523000522175,-2.2209034142219832,-0.49503771987497064,0.42740773024762907,0.08098924517896379,-2.7758975987979255
Levi,1.0715498074700467,0.06524430062508099,-0.22680464844475934,0.23564922072439065,1.1617073613257816,0.5558057761945908,-0.09665803786563125,0.2441069571722795,-0.158564335212633,0.17967092407370094,0.5661635449507477,0.33469077829535965,0.7338481307054407,-0.010808725949460451,0.5052896448106272,-0.45595508238872884,0.40670192447203174,-0.23834739549649894,1.7379141672235507,-1.8577702430487695,-0.9934990224437635,1.282611324872933,1.2965959479416271,-1.9347971225661125
Kay,0.4347841818026969,-0.02508094757494004,0.04124012563842056,0.09806471871064688,0.5131107254308255,0.27591891611552727,-0.44166801235516373,0.2589777536432083,0.10566455401821671,-0.4343615432015671,-0.2418445784087875,0.11803166490847997,-0.09731402394691285,-0.22682535157061787,-0.3380004769751186,-0.43208838434879404,0.135240851072019,-0.23373712034487595,1.9476520137090063,-0.3012725374335571,-0.5294582445818028,1.425917206825891,0.5468861256138878,-0.5858829634674421
Shirley,0.4579119182933042,0.03992958108699613,0.12937204875010527,0.03159056876290309,0.23122442151251713,0.3701578496767337,-0.9669681193023584,0.22817201160756162,-0.39027068206727855,0.18194943854492387,0.6031345814411574,0.20504943044677165,0.14789592041962915,-0.04590558210001208,-0.12783400071343035,-0.20116103517095127,0.43622076765586026,0.31071558794457466,1.0506239118007386,-0.8665334427327962,-0.8922466900525389,0.29752637691491685,-0.12853160554327497,-2.255273393599228
Sophie,-0.20605058298697576,-0.08883241213336726,0.1360534031798995,0.09370384776639866,0.37436827518919097,-0.19018586887586925,-0.3461865182432954,0.23509772884232433,0.12134295545611788,-0.0045199965997842146,-0.20399421692134226,-0.014876160581758039,0.22584524124354569,0.0622841732458649,0.05954568775445998,-0.10019973989258955,0.0765001365394204,0.6650289211009057,2.6228557421687904,-1.3646005074442908,-0.667811645884247,0.5961193143840059,0.30860668498348776,-1.8755004445863457
Chelsea,-0.1609925088421052,0.6565070505298918,0.21701126420938857,0.3344724341355468,-0.19281459182267358,0.4741785268146002,0.16901030455715754,0.4054820195372309,0.830357387669683,0.21556234819965958,-0.3753003207413924,0.5247359422250683,0.04989963363867651,0.03266666643113382,0.3086077434373606,0.02939650828035868,-0.07032623373700721,0.6821584099358728,1.308536350664912,-1.5860882172442197,-0.010210879444666738,0.8760874163282965,0.5903393239058834,-0.8973084404909646
Piper,0.49289150772183415,0.3113470490140515,0.06881306081873027,0.5323373236858887,0.7858023907770154,0.6507191740533133,0.4916650811117988,0.4010625467715784,0.17617769018313642,0.3652097263939466,-0.13813260518024517,0.1368163232827138,0.1541769959523269,0.2886424766373864,-0.2900069609751606,0.048562974572021016,0.14856963949081983,-0.04853972558254931,0.5120938434039749,-1.7807456548471106,-1.229577046014458,0.012844558231867002,-0.5723059210405055,-2.3725177248332048
Audrey,0.11618089496843761,0.24861277498717696,0.5095524215511784,0.517155889236322,0.6023614976911802,0.3531714735712157,0.2210357194758363,0.3068787319818261,0.39912186997376503,-0.03539211992978695,-0.2456754862117005,0.09648381506683337,0.4350442622397743,0.21368320369364435,-0.3254614119448693,-0.23251545129526896,0.17221806739714993,0.8942277281422663,1.5544491708264376,-0.6212089371204736,-0.46747214318827385,0.23204600453238552,0.03485669482351099,-1.6603059404193463
Kara,-0.06941336143165563,0.08254654390371267,-0.06348879835597132,-0.051650863805788504,0.10097020074632157,0.39335666435226563,0.03377075975638191,0.3290116082075797,0.15675851405734012,0.08433690097461748,0.12472676300493739,0.3494697442539083,-0.04761571828858237,0.15366122783719846,0.21800887569234023,-0.01379602990472086,0.09232281785139008,-0.02054508090031469,1.2952829589020871,-0.40464461310412947,-0.8356890086968144,1.725727567327274,0.39829734607694645,-0.8716628569279571
Henry,0.4286199441461914,0.3332898235532892,0.3225387104098794,0.22307045143483292,0.9622040903159148,0.237181537517623,-0.5960647137244365,0.45821452458019385,0.11771432888650932,-0.2243017005024614,-0.057581470425454036,0.2618089392592158,0.6097191413048458,0.3095184462809756,-0.368993873602957,-0.19339647995185258,0.4529238345243039,0.41934117659192527,2.1669956670250783,-2.130698796407979,-0.9298861568046021,0.23955175277091456,-0.0463898626617199,-2.45170538502849
