,country,yob,direct_correlation,indirect_correlation,same_correlation
901,Sudan,2013,0.6217603092662588,-0.18958255893541104,False
902,Sudan,2014,0.2969671961214216,-0.19151201755431652,False
903,Sudan,2015,0.42258499693421797,-0.19317049216201884,False
904,Sudan,2016,0.30070352089468977,-0.19333340974317875,False
905,Sudan,2017,-0.08489610352735581,-0.17325310696164195,True
906,Sudan,2018,-0.3166232959493737,-0.19643010685303186,True
907,Sudan,2019,-0.6292209019014029,-0.15698849889858754,True
908,Sudan,2020,-0.7794837180408508,-0.17958589449966506,True
909,Algeria,1920,-0.9998570142054908,0.1105219644420525,False
910,Algeria,1921,-1.0049575200075265,0.10577174124934696,False
911,Algeria,1922,-0.9416403854972704,0.11402612385898285,False
912,Algeria,1923,-0.8237104388075458,0.11724069209324782,False
913,Algeria,1924,-0.5597876790225843,0.1422364937589243,False
914,Algeria,1925,-0.7732334656601908,0.14464292564145353,False
915,Algeria,1926,-0.9503274946591088,0.16829100694678442,False
916,Algeria,1927,-0.8134766678890413,0.159401761854059,False
917,Algeria,1928,-0.6889539430759307,0.1794274373185893,False
918,Algeria,1929,-0.8592426412174359,0.1568643055828619,False
919,Algeria,1930,-0.7340386041483267,0.12029120383334363,False
920,Algeria,1931,-0.5418691121958223,0.1364375811888353,False
921,Algeria,1932,-0.4287255660843104,0.11789449053542395,False
922,Algeria,1933,-0.4816624678845941,0.10423442433176618,False
923,Algeria,1934,-0.12281527278742745,0.13590394746664067,False
924,Algeria,1935,-0.5229869650660105,0.12343887089006875,False
925,Algeria,1936,0.017390557566192892,0.16271320960085184,True
926,Algeria,1937,-0.2607804784135173,0.08509524447976936,False
927,Algeria,1938,-0.19666370890095647,0.11276230260163735,False
928,Algeria,1939,-0.21751008345414166,0.0949663818831295,False
929,Algeria,1940,-0.21926547365460355,0.11249077313786217,False
930,Algeria,1941,-0.3916677085372551,0.036309881812991926,False
931,Algeria,1942,-0.13756861341347673,0.07747495919732232,False
932,Algeria,1943,0.0746609033149372,0.0988739903906295,True
933,Algeria,1944,0.011913850880375727,0.12184314703432225,True
