,beverage,country,direct_correlation,indirect_correlation,same_correlation
90,coffee,Venezuela,0.2759305344798665,0.016414278435702454,True
91,coffee,Chile,1.7534292250532901,0.09538926808571373,True
92,coffee,Ecuador,1.7222516605715672,0.09353647856188953,True
93,coffee,Bolivia,1.504982875643686,0.011660036175602156,True
94,coffee,Paraguay,0.13689196996125866,0.07799153811032634,True
95,coffee,Uruguay,1.3155701878717962,0.13766990202440932,True
96,coffee,Australia,1.0775827940462723,0.033988415093397194,True
97,coffee,Fiji,-0.16532144457548062,-0.07989910600420128,True
98,coffee,Samoa,0.5104116109169958,0.02700273394239823,True
99,coffee,Tonga,-1.140299713975358,-0.06720314634284581,True
100,tea,Nigeria,-2.388049078385307,-0.033056742247208566,True
101,tea,Ethiopia,-1.144924570564548,0.015778228830268533,False
102,tea,Egypt,-0.7171642614474342,0.19110956420572486,False
103,tea,Congo,-1.1577276782499066,0.09638318737648616,False
104,tea,Tanzania,0.5666775510734015,0.10492106320031633,True
105,tea,Kenya,0.1085624260323149,0.1727215812187371,True
106,tea,Uganda,-0.5472361810870933,0.025378016622896224,False
107,tea,Sudan,-0.464776796825455,0.13054488857368826,False
108,tea,Algeria,-1.958035296316864,-0.13954084063081382,True
109,tea,China,1.767014845318008,0.2649771587182379,True
110,tea,India,1.863240014342804,0.17802513365030245,True
111,tea,Indonesia,0.3272164351037312,0.07132778475935475,True
112,tea,Pakistan,0.8033875941257888,0.10648860067876624,True
113,tea,Bangladesh,1.25907408348882,0.016296192415924768,True
114,tea,Japan,0.9172005363884056,0.18489009875407006,True
115,tea,Philippines,0.19140630978773213,-0.005724727392824956,False
116,tea,Vietnam,0.2418043849055389,0.13675195755484096,True
117,tea,Iran,-0.1861705050729852,0.08835647403717055,False
118,tea,Turkey,-1.161785053061916,0.02483613009929884,False
119,tea,Russia,-1.620433062298945,0.03248391343573215,False
120,tea,Germany,-1.1621426590773245,0.1049210295302058,False
121,tea,France,-0.5865452965390828,0.012317862080911374,False
122,tea,Italy,-1.50833368517707,-0.05623382642261536,True
123,tea,Spain,-1.6122435967109807,0.027473361814897058,False
124,tea,Ukraine,-2.0128518790077083,0.002715580217016577,False
125,tea,Poland,-1.6132808474806544,0.04504799711558827,False
126,tea,Romania,-2.303701618645799,-0.0883033401875952,True
127,tea,Netherlands,0.032386872300059086,0.061337951562085574,True
128,tea,Austria,-0.9283439333677428,0.022100638087398015,False
129,tea,Mexico,-1.356490795993519,0.039298901255486365,False
130,tea,Canada,0.06777495268688136,0.15627641123108138,True
131,tea,Guatemala,-0.9308587585676372,-0.08310189980851708,True
132,tea,Haiti,-1.9718630476731283,-0.07512097801438349,True
133,tea,Cuba,-1.3053077098688055,0.04951873437137059,False
134,tea,Honduras,-1.0337933425142516,0.010930664409950726,False
135,tea,Nicaragua,-0.8803214393064682,-0.1184819894333721,True
