index,trait_isomap_x,trait_isomap_y,trait_tsne_x,trait_tsne_y,trait_umap_x,trait_umap_y
nanny,0.5600371410825832,-1.5030626024752434,-63.329453,-168.09369,10.796752,3.909472
nurse,4.202554492939714,-0.3923274063226228,-64.32062,213.44974,1.9991072,12.956249
nutritionist,-0.22538703141711527,-1.2307589429358932,-36.46186,-148.02663,10.035486,4.66597
optician,-0.1283676965964506,-0.9136099660875338,-57.06122,-121.86561,10.894318,4.7492895
painter,1.7603917186570586,-0.0889372887816583,-37.47921,141.83609,2.410864,11.623252
pharmacist,-0.4467944595595057,-0.5669654236036145,-35.101627,-91.48934,11.071145,5.671995
philosopher,0.5608236043188926,4.341512197491905,101.26772,137.04356,3.9538622,8.933725
photographer,0.6303039872235205,-1.3718646338587337,-75.6954,-162.58894,10.628292,3.6241488
physiscian,-0.3174492175784247,-1.9861147323114379,-0.75034416,-201.95981,8.762263,4.711519
physician's assistant,-1.4065819305564078,-0.4036777034917849,-88.30844,-15.019732,7.6739674,6.5382733
pilot,-0.4867321930517247,-0.39782383531641013,-17.183323,-57.397446,11.599364,6.0751185
plumber,-0.8874112526713491,-0.9347655799624056,21.412159,-111.98417,9.482781,6.2683015
police officer,1.7100166795601104,-1.2531039745986754,-64.26752,142.5335,2.3527186,12.112058
policeman,1.6760266225891023,-0.7329584361293582,-54.645073,141.90576,2.291889,11.863368
politician,2.045977720082204,3.1743498421679917,70.99347,113.02939,4.2872148,9.542096
postman,-1.6452793788907036,-0.7674302468925766,59.788826,-146.97177,7.8076606,6.368977
professor,-1.7252685615734693,0.7537547874397289,36.305504,17.814348,5.5467234,7.6897316
programmer,0.3134941861681908,-1.2251698788026586,-72.12717,-151.31801,10.912917,4.1398883
psychologist,-0.568530208997796,-0.7383885039726574,-25.930437,-101.993484,10.566423,5.7959886
receiptionist,-0.6280585529646067,-1.5461868546375388,-5.6466203,-178.56853,9.174207,4.5565233
salesperson,-1.870674233182304,0.1183630713035775,-91.61458,12.156019,7.17314,6.9441266
scientist,-1.1503455618814973,0.7895972892473659,64.06547,30.72305,5.8444204,8.012397
scholar,-1.5665103986378572,2.5376278843293,96.33928,78.85208,5.818833,9.207577
secretary,0.3049759584939625,0.8311975902236766,10.415702,99.229385,3.26321,10.597656
server,-1.5707046462680947,-1.3645387572867904,53.546425,-184.3478,8.179171,5.347542
singer,1.4948444258078377,0.16899853113772084,-24.145243,128.21577,2.6032977,11.341139
skipper,-1.2452110960273892,-1.12470655689308,34.312897,-120.130424,9.639459,6.1476617
soldier,0.9060168209056739,4.319079923786783,104.80312,147.5662,3.872427,8.860186
socialite,2.9091217030316665,0.6231782970428599,-46.11103,197.6152,1.8491795,12.229941
stylist,-1.225946388350379,-0.917728020822181,30.809172,-148.93144,8.569362,5.8731546
surgeon,-1.747882411570218,1.037575868928887,41.580456,24.901283,5.410386,7.900587
teacher,-0.42054749595183527,1.2130505203256452,5.9185543,15.958458,5.0522385,7.7109284
therapist,-0.23760367357401288,-1.6191896840666329,-18.505608,-174.28815,9.567063,4.3894086
translator,0.20551463650324817,-1.3875460019290249,-87.69709,-170.24115,10.702719,3.6316724
undertaker,-0.8373305287196822,-1.5600685840901578,6.8080006,-195.54779,8.710006,4.829982
veterinarian,-0.7996886549578409,-0.31341692476988153,-34.55495,-31.053741,12.388326,5.715317
videographer,0.18590953448889133,-1.6969589500464306,-53.919056,-196.01515,10.26925,3.4657738
waiter,1.5673822011224214,0.37873639040387685,-25.494987,138.55727,2.689714,11.255327
waitress,2.586654682461821,-0.6626233104235325,-90.404724,125.29141,2.2034838,12.358976
warrior,1.2540499156415472,5.524753136832882,109.905396,158.10127,3.864598,8.86398
writer,-0.66366482531847,-1.5457510426166332,5.9993525,-172.68668,8.989185,4.7414374
