,sport,yob,direct_correlation,indirect_correlation,same_correlation
115,basketball,1934,-1.4279924484934332,-0.10574292120530646,True
116,basketball,1935,-1.4234726364809618,-0.08572963890139831,True
117,basketball,1936,-1.2685724766074589,-0.10815503122386534,True
118,basketball,1937,-1.528332739879445,-0.09455135974034072,True
119,basketball,1938,-1.4706822262189767,-0.09426858092877753,True
120,basketball,1939,-1.337673598002894,-0.06606135652535383,True
121,basketball,1940,-1.252293962603885,-0.09407499306129886,True
122,basketball,1941,-1.2501007989397686,-0.07968346002512533,True
123,basketball,1942,-1.1223941622273224,-0.0883094789586281,True
124,basketball,1943,-1.1444981238018286,-0.15236241094425124,True
125,basketball,1944,-1.2527359629370676,-0.15606624057384705,True
126,basketball,1945,-1.3298798256093738,-0.08368017857700251,True
127,basketball,1946,-1.253955243522353,-0.10904755713435124,True
128,basketball,1947,-1.1119223392203,-0.09113689526384376,True
129,basketball,1948,-0.9566452638339112,-0.009749651620558427,True
130,basketball,1949,-1.0685024044276277,-0.07942920790086237,True
131,basketball,1950,-0.8435225028159458,-0.0871132036971294,True
132,basketball,1951,-0.8678726719285766,-0.069129341664907,True
133,basketball,1952,-0.9555035103960429,-0.117176043621759,True
134,basketball,1953,-0.9933235362286956,-0.0998429754424928,True
135,basketball,1954,-0.7810907348593552,-0.11887823253779953,True
136,basketball,1955,-0.8745286916920914,-0.12265764615541422,True
137,basketball,1956,-0.8455599031157022,-0.07618986551118619,True
138,basketball,1957,-0.8373914617177606,-0.08328812049619448,True
139,basketball,1958,-0.7236937112778304,-0.0850207202449985,True
140,basketball,1959,-0.7410092171575124,-0.06523516040995345,True
141,basketball,1960,-0.5425253315958821,-0.10479027247293683,True
142,basketball,1961,-0.596696443522885,-0.08907620010701614,True
143,basketball,1962,-0.7502977501492606,-0.057094536628451924,True
144,basketball,1963,-0.7028436265934652,-0.04646419388401896,True
145,basketball,1964,-0.5527681905330587,-0.02494460168345293,True
146,basketball,1965,-0.6522226367714619,-0.027276758710760244,True
147,basketball,1966,-0.5926834814907361,-0.02239018345250316,True
148,basketball,1967,-0.5904825210321333,-0.046602412259145465,True
149,basketball,1968,-0.42534042936752015,-0.04728312225586552,True
150,basketball,1969,-0.5432849029386059,-0.059486727530620134,True
151,basketball,1970,-0.35987538207620123,-0.08516816096931115,True
152,basketball,1971,-0.3169376738261261,-0.06917034619648264,True
153,basketball,1972,-0.3266444930911341,-0.07868996233605269,True
154,basketball,1973,-0.4115040077677402,-0.12606245360134752,True
155,basketball,1974,-0.28167122179031,-0.08621738913030479,True
156,basketball,1975,-0.3202167917014621,-0.08281285866633,True
157,basketball,1976,-0.3905824498171391,-0.10988821571062077,True
158,basketball,1977,-0.2938442495244041,-0.11424847276679205,True
159,basketball,1978,-0.2379436360082927,-0.08150364559586927,True
160,basketball,1979,-0.42377668205947294,-0.0827068073669782,True
161,basketball,1980,-0.1008058721084124,-0.07884306016160032,True
162,basketball,1981,-0.18710430724538488,-0.10254198039027954,True
163,basketball,1982,-0.2837468761496336,-0.08740279971402805,True
164,basketball,1983,-0.1637921587980098,-0.11749948029122492,True
165,basketball,1984,-0.043511147855015635,-0.07058042493213454,True
166,basketball,1985,-0.08685184560350713,-0.1077769469876006,True
167,basketball,1986,-0.11140966917591456,-0.091854373205102,True
168,basketball,1987,-0.06915719502687663,-0.0704949431080908,True
169,basketball,1988,0.03716483221660972,-0.04573692930341968,False
170,basketball,1989,-0.1023982916674388,-0.10132618894013637,True
171,basketball,1990,-0.0663894087784316,-0.09049522360927974,True
172,basketball,1991,0.06587130105476582,-0.10967047838401264,False
173,basketball,1992,0.15060096778901047,-0.11674690269016415,False
174,basketball,1993,0.07815164652782088,-0.11840586448272082,False
175,basketball,1994,-0.0077425757745216576,-0.10618435781010896,True
176,basketball,1995,0.030418178618918955,-0.10726305648093586,False
177,basketball,1996,-0.004264683783549735,-0.08911385956452662,True
178,basketball,1997,0.047886704905343615,-0.13570020950427586,False
179,basketball,1998,0.11210226075075952,-0.11833384066102876,False
180,basketball,1999,-0.04881821473370728,-0.11527560726034787,True
181,basketball,2000,0.15704969950873313,-0.04257142299798713,False
182,basketball,2001,0.044879419159583295,-0.1268011416958747,False
183,basketball,2002,0.0157298649617605,-0.13247796895428054,False
184,basketball,2003,-0.006195396389924603,-0.1482349599206208,True
185,basketball,2004,0.07042812913877193,-0.1277076889669199,False
186,basketball,2005,-0.032287873872120856,-0.11269303129055418,True
187,basketball,2006,0.009190033847856608,-0.09239033985257704,False
188,basketball,2007,0.04408830359667647,-0.1051433577092268,False
189,basketball,2008,-0.010028682893208856,-0.060519330169356164,True
190,basketball,2009,-0.17187531819198815,-0.06236338878301274,True
191,basketball,2010,-0.022559972413481868,-0.05603705598432236,True
192,basketball,2011,-0.013558032497340007,-0.0699451965033921,True
193,basketball,2012,0.007449769560460134,-0.008331751557095361,False
194,basketball,2013,-0.18220622446846066,-0.06790629215920004,True
195,basketball,2014,-0.20937200365957603,-0.07388298718981492,True
196,basketball,2015,-0.15735614037558732,-0.07458720728892143,True
197,basketball,2016,-0.05490684599856994,-0.059534140792992636,True
198,basketball,2017,-0.15167667820994066,-0.046514368406413945,True
199,basketball,2018,-0.07379641899292216,-0.07666926453942287,True
200,basketball,2019,-0.22877605039021545,-0.014583549086650775,True
201,basketball,2020,-0.02267762241025183,0.02442460483834042,False
202,cricket,1920,-0.9760215189259056,0.027797921615233808,False
203,cricket,1921,-1.1342404465947062,0.036162564666250806,False
