,country,gender,direct_correlation,indirect_correlation,same_correlation
223,Dominican Republic,female,-1.0477152370835316,0.059602957727933,False
224,Dominican Republic,boy,-1.908398975801104,-0.17423007513273778,True
225,Dominican Republic,girl,-2.3658589348396863,0.0045225052948716545,False
226,Dominican Republic,man,-2.327238417171852,-0.15459324013211356,True
227,Dominican Republic,woman,-1.0389351395514077,0.056226339951875634,False
228,Honduras,male,-1.2060168341289126,-0.17411920605714348,True
229,Honduras,female,-0.8667626094316293,0.001475633323145433,False
230,Honduras,boy,-1.602855598485183,-0.1954529081444208,True
231,Honduras,girl,-1.7612762826536796,-0.0273737256273481,True
232,Honduras,man,-1.722071465909638,-0.17961038773704782,True
233,Honduras,woman,-0.8010502713813702,0.017337998116506315,False
234,Nicaragua,male,-1.7008799409701747,-0.10532701442754884,True
235,Nicaragua,female,-1.4816516380471092,0.016308334462609257,False
236,Nicaragua,boy,-1.91778587181606,-0.13382536227645192,True
237,Nicaragua,girl,-2.074806524079984,-0.015830564486437937,True
238,Nicaragua,man,-1.8638435860093647,-0.11394322231759435,True
239,Nicaragua,woman,-0.9115570107392924,0.023850424285341967,False
240,El Salvador,male,-1.584542668003235,-0.14670743521047,True
241,El Salvador,female,-1.3151364069714573,0.04511562861084178,False
242,El Salvador,boy,-2.0930727913148117,-0.189504473345716,True
243,El Salvador,girl,-2.3211439785266696,-0.008324107892427426,True
244,El Salvador,man,-2.189567798957946,-0.16410079855722845,True
245,El Salvador,woman,-0.8941988292744107,0.047207632571928934,False
246,Brazil,male,-1.0337580398577406,-0.06847327677384422,True
247,Brazil,female,-0.767325552960515,0.08807572947913518,False
248,Brazil,boy,-1.5552601475946732,-0.12230466080311908,True
249,Brazil,girl,-1.7067532920621111,0.037628329090755086,False
250,Brazil,man,-1.8847706775208724,-0.11951004384538964,True
251,Brazil,woman,-1.0373901270036638,0.053555828558447885,False
252,Columbia,male,-1.955034155866052,-0.24550607838429298,True
253,Columbia,female,-1.6702487947457678,-0.24896695594324386,True
254,Columbia,boy,-1.4375029386652425,-0.19238008702537016,True
255,Columbia,girl,-1.7140221825126143,-0.20048850031258136,True
256,Columbia,man,-1.906025523165481,-0.13466386174294528,True
257,Columbia,woman,-1.2596558866069567,-0.1523054266535729,True
258,Argentina,male,-1.0256340338302528,-0.14523485434196362,True
259,Argentina,female,-0.7526693709450543,0.07772724754114757,False
260,Argentina,boy,-1.8561588911714584,-0.19335140178931706,True
261,Argentina,girl,-2.0220879876976925,0.02900073663923685,False
262,Argentina,man,-1.9996239215872071,-0.18747208065954507,True
263,Argentina,woman,-0.994017543268906,0.0751307127558145,False
264,Peru,male,-0.9937547487318418,-0.09231126848353127,True
265,Peru,female,-0.7581519501370428,0.12432847365027094,False
266,Peru,boy,-1.4878874265455708,-0.14776184937464187,True
267,Peru,girl,-1.5696249093435697,0.0673105359061798,False
268,Peru,man,-1.5723423747061702,-0.1382335750886103,True
269,Peru,woman,-0.7957333175554975,0.1093469755527917,False
270,Venezuela,male,-0.7074406090875474,-0.0944897911107831,True
271,Venezuela,female,-0.4685645917263809,0.07175716245735722,False
272,Venezuela,boy,-1.7368239272433474,-0.14920309981281424,True
273,Venezuela,girl,-1.8557308858159651,0.018978832025790097,False
274,Venezuela,man,-1.827919195247504,-0.12820593699494373,True
275,Venezuela,woman,-0.8745602409212879,0.05838669564013633,False
276,Chile,male,-1.0639024716201615,-0.1537210346656275,True
277,Chile,female,-0.9200956423192812,0.07625057226659797,False
278,Chile,boy,-1.6814805746577204,-0.19194455914600764,True
279,Chile,girl,-1.9104900928037405,0.03228690779704008,False
280,Chile,man,-1.8840220060058528,-0.18603415964428865,True
281,Chile,woman,-0.8734462368700127,0.07921320944905569,False
282,Ecuador,male,-0.8702279249416554,-0.08160072106135588,True
283,Ecuador,female,-0.6093512759360551,0.14361802909839744,False
284,Ecuador,boy,-1.5781792065032412,-0.13043135992531954,True
285,Ecuador,girl,-1.8309479952084509,0.09171712618861902,False
286,Ecuador,man,-1.7547771784752544,-0.14203003903097294,True
287,Ecuador,woman,-0.7637859815760628,0.12396095769874366,False
288,Bolivia,male,-0.6380147827743292,-0.11958444565129275,True
289,Bolivia,female,-0.4325399949473984,0.09366391568819242,False
290,Bolivia,boy,-1.7187781187991682,-0.18419970424626486,True
291,Bolivia,girl,-1.7089528714959576,0.03040525120041437,False
292,Bolivia,man,-1.710729833517299,-0.15407109539257885,True
293,Bolivia,woman,-0.6728356271547675,0.08225563308502587,False
294,Paraguay,male,-1.19449690684761,-0.20813788383390244,True
295,Paraguay,female,-0.8022296098787289,0.050227869827267464,False
296,Paraguay,boy,-1.6917603342162462,-0.2580189576341182,True
297,Paraguay,girl,-1.9195430052141635,-0.006608366931132557,True
298,Paraguay,man,-1.8363608008062542,-0.2355353109897545,True
299,Paraguay,woman,-0.7731358479069425,0.061650351717481136,False
300,Uruguay,male,-1.532432384633421,-0.17084353766434668,True
301,Uruguay,female,-1.2151955648841757,0.05562764590970275,False
302,Uruguay,boy,-1.7409063817574297,-0.2136950689098532,True
303,Uruguay,girl,-1.9793051115240297,0.007850275661881295,False
304,Uruguay,man,-2.0710003923536244,-0.20697611388854334,True
305,Uruguay,woman,-1.0189684789649391,0.05648491972783496,False
306,Australia,male,-0.6355797216757862,-0.11762727123866296,True
307,Australia,female,-0.5933017119412478,0.015067636938910287,False
308,Australia,boy,-1.4133237909224916,-0.046280273284966464,True
309,Australia,girl,-1.5477429517454184,0.07550297528559713,False
310,Australia,man,-1.756068313494297,-0.1008482420484035,True
311,Australia,woman,-1.0916300358427062,0.054993812983536776,False
312,Papua New Guinea,male,-0.40269104945723694,-0.09763383194565536,True
313,Papua New Guinea,female,-0.4549994284094676,0.00822001768444568,False
314,Papua New Guinea,boy,-1.849287499547004,-0.08407621488169792,True
315,Papua New Guinea,girl,-2.174836710762647,0.009860603242571741,False
316,Papua New Guinea,man,-2.148498635249344,-0.04864032347147404,True
317,Papua New Guinea,woman,-1.2207518733795109,0.04374297068970411,False
318,New Zealand,male,-0.8817947736089627,-0.1119888800900954,True
319,New Zealand,female,-1.0537892648466431,-0.03385316634493077,True
320,New Zealand,boy,-1.6521632512578033,-0.06131111088478342,True
321,New Zealand,girl,-2.029927999129107,0.008313430490518907,False
322,New Zealand,man,-2.0652063282194275,-0.08316926374964602,True
323,New Zealand,woman,-1.195106969708785,0.00828174691271676,False
324,Fiji,male,-0.443678512009932,-0.2326989586570603,True
325,Fiji,female,-0.30245265398441235,0.01108945830807222,False
326,Fiji,boy,-1.0605896745054049,-0.2181574108675255,True
327,Fiji,girl,-0.9459460372468824,0.011774360093939326,False
328,Fiji,man,-0.8509880959562395,-0.19356132350231967,True
329,Fiji,woman,-0.15760137326960286,0.07809842879806964,False
330,Solomon Islands,male,-0.4363656790076182,-0.19646247186542426,True
331,Solomon Islands,female,-0.4473124120553089,-0.0018684131933830411,True
332,Solomon Islands,boy,-1.3864081089910094,-0.19218477125229247,True
333,Solomon Islands,girl,-1.7347533300019389,-0.016183727401327227,True
334,Solomon Islands,man,-1.6401713531354385,-0.15040373740124752,True
335,Solomon Islands,woman,-1.0104674965298268,0.043934637951820336,False
336,Vanuatu,male,-0.3218893075419244,-0.14123470151413936,True
337,Vanuatu,female,-0.3248854708882678,-0.024605078504125646,True
338,Vanuatu,boy,-1.2374321369901513,-0.21192998873678867,True
339,Vanuatu,girl,-1.5451242931388711,-0.09000439885506868,True
340,Vanuatu,man,-1.4460031730230174,-0.15038377341546233,True
341,Vanuatu,woman,-0.39102786142465656,-0.017269648872521182,True
342,Samoa,male,-0.0879526170013578,-0.10058427967186552,True
343,Samoa,female,-0.05141841926429465,-0.016288552090080084,True
344,Samoa,boy,-0.9787492322371851,-0.11851477652605864,True
345,Samoa,girl,-1.3551414925810472,-0.044289798845083626,True
346,Samoa,man,-1.30246068665696,-0.07246091433132823,True
347,Samoa,woman,-0.4745895252990617,0.0059404669981540795,False
348,Kiribati,male,-0.06268145223384894,-0.1315300416044625,True
349,Kiribati,female,-0.2934567391228968,0.12243559734839896,False
350,Kiribati,boy,-1.2506007705285933,-0.17275011174538735,True
351,Kiribati,girl,-1.6706274576620477,0.07198746368928956,False
352,Kiribati,man,-1.7526535130815732,-0.14837561666503624,True
353,Kiribati,woman,-0.8605493011304752,0.1310343094127428,False
354,Micronesia,male,-0.4479039589508692,-0.22260163500065056,True
355,Micronesia,female,-0.28064725176876776,0.015534314945089115,False
356,Micronesia,boy,-0.8565806694842154,-0.26186715539658123,True
357,Micronesia,girl,-0.9780071862770949,-0.03411909858260443,True
358,Micronesia,man,-1.206045312187948,-0.20061399773570335,True
359,Micronesia,woman,-0.4979675251370435,0.04970475219741892,False
360,Tonga,male,-0.12742015381599986,-0.08763238846136336,True
361,Tonga,female,-0.1032259589535156,0.020571045724648747,False
362,Tonga,boy,-0.9344335453195992,-0.09533619053209903,True
363,Tonga,girl,-1.261129624610334,0.004962344827061629,False
364,Tonga,man,-1.2680757572098331,-0.05632486488471473,True
365,Tonga,woman,-0.5174216725761654,0.04391154050365136,False
