,sport,beverage,direct_correlation,indirect_correlation,same_correlation
98,martial arts,liquor,-0.14382254859549154,0.1160184033298362,False
99,martial arts,beer,0.07253646761579778,0.14365585712375964,True
100,martial arts,wine,-0.3926561769439334,-0.1376496111133068,True
101,martial arts,vodka,0.2183226144793396,0.005326233592780613,True
102,martial arts,whiskey,-0.678464069889265,0.0939316762622168,False
103,martial arts,champagne,-0.29546722055208097,-0.13561215702799456,True
104,baseball,water,0.05238023795362378,-0.2597715156478969,False
105,baseball,coffee,0.488543116390756,-0.08950797506961061,False
106,baseball,tea,0.15262629737525674,-0.3224294091814429,False
107,baseball,juice,-0.2099090826349547,-0.24080841787491103,True
108,baseball,milk,0.07621871856229917,-0.20024002565643867,False
109,baseball,soda,0.429592153527448,0.11345018975341127,True
110,baseball,alcohol,0.19261413134887098,0.028803148213738108,True
111,baseball,liquor,-0.1277947751601046,0.3713998403572407,False
112,baseball,beer,0.7860033146754739,0.438056010298803,True
113,baseball,wine,-0.6809446864434783,-0.4298201777049501,True
114,baseball,vodka,0.4673967354644227,-0.030034349138906076,False
115,baseball,whiskey,0.07788593287620975,0.3635254718308065,True
116,baseball,champagne,-0.22916644785318105,-0.4016545792313883,True
117,american football,water,-0.14794658132174093,-0.14665887725570625,True
118,american football,coffee,0.32395887399916684,-0.1560282874343467,False
119,american football,tea,-0.11824405685516845,-0.1748424699921788,True
120,american football,juice,-0.07277188724176853,-0.19290610325196547,True
121,american football,milk,-0.11334440162393927,-0.14773845154456713,True
122,american football,soda,0.4298138185510568,-0.15883440143977345,False
123,american football,alcohol,0.8339747354945247,0.16264920270045016,True
124,american football,liquor,-0.06482256733457603,0.13071976787654593,False
125,american football,beer,0.5461089330160563,0.13013474255507762,True
126,american football,wine,-0.014672083032674619,-0.02070853893687324,True
127,american football,vodka,0.547704712741497,0.029030660663355707,True
128,american football,whiskey,-0.5630696269564622,0.182438582686267,False
129,american football,champagne,0.3721301093815432,-0.04786907109912224,False
130,rugby,water,-0.053284017656184735,-0.2321401815068688,True
131,rugby,coffee,0.1204891542429888,-0.13456374349912562,False
132,rugby,tea,0.2919975845825906,-0.2445567512217263,False
