,sport,occupation,direct_correlation,indirect_correlation,same_correlation
148,cricket,professor,-0.7361551136282309,-0.10590070725724872,True
149,cricket,programmer,-0.1733182623668975,-0.1482469658115983,True
150,cricket,psychologist,-0.3471104587975514,0.0034900330578243296,False
151,cricket,scientist,-0.3747539768795497,-0.052147348940859366,True
152,cricket,scholar,0.23826525243944616,0.0035279719197635327,True
153,cricket,secretary,0.10877179457342467,0.0597201149324568,True
154,cricket,server,-0.5900575326557213,-0.358981171716661,True
155,cricket,singer,-0.3953768090187436,-0.09782114852872542,True
156,cricket,soldier,-0.3855015619500515,-0.018470764983609896,True
157,cricket,surgeon,-0.3100431725786853,0.07575439376505515,False
158,cricket,teacher,0.3689881428838717,-0.02605093550826022,False
159,cricket,therapist,-1.101459085690412,-0.10014603779765438,True
160,cricket,translator,-0.7647357872432221,-0.046749697438491215,True
161,cricket,waiter,-0.4568437821826937,-0.009153919315372924,True
162,cricket,waitress,-0.2758679128087292,-0.07534848247534501,True
163,cricket,warrior,-1.4850021921754413,-0.17091490605771134,True
164,cricket,writer,-0.21867994291259915,0.10333130831825743,False
165,hockey,accountant,0.08754603463537704,0.1171936383796914,True
166,hockey,architect,-0.6918374537712046,0.021402130429832498,False
167,hockey,artist,-1.1101190038956297,-0.15463982487391825,True
168,hockey,attorney,-0.6412856251030931,0.1595407155563903,False
169,hockey,banker,0.13113703076794056,0.07924295895878239,True
170,hockey,bartender,0.0742371168848026,0.17998577879729175,True
171,hockey,broadcaster,0.7110867619609624,0.3020120533902068,True
172,hockey,builder,0.3764084020661817,0.21350296732977828,True
173,hockey,businessman,0.18457535497552452,0.1419142787954436,True
174,hockey,butcher,0.24860384018724285,0.11098623297471544,True
175,hockey,captain,0.2019465025520605,0.03919056981562955,True
176,hockey,carpenter,0.4930260590331985,0.16561055458916285,True
177,hockey,chef,-0.3225766466960523,0.0714619979031992,False
178,hockey,coach,1.1443287416428487,0.1639408769253651,True
179,hockey,cook,0.05186359724419788,-0.13619676380518206,False
180,hockey,dancer,-0.1334585792295924,-0.1711368880580141,True
181,hockey,designer,-0.588296424345678,0.006408187399110612,False
182,hockey,doctor,-0.22876169408373115,-0.10808243667757902,True
183,hockey,economist,-0.19307088020589672,0.002533977304023971,False
184,hockey,editor,-0.7157702387635755,-0.029146114271256206,True
185,hockey,engineer,0.17726248686867058,0.10210443231042136,True
186,hockey,farmer,0.6427481301823863,0.15987941086027418,True
187,hockey,filmmaker,-0.3607243823058448,0.1559594455577149,False
188,hockey,housekeeper,-0.41098151013732775,-0.14269170845856974,True
189,hockey,journalist,-0.3317551197749525,0.002282811079754625,False
190,hockey,judge,-0.5671049394688028,0.0036357400649014923,False
191,hockey,lawyer,-0.3966361276908568,0.06813555714775768,False
192,hockey,librarian,-0.4378678272847644,-0.062069104633838974,True
193,hockey,magician,-0.3652805953323921,-0.033463613385480394,True
194,hockey,mechanic,0.426774796887992,0.1819516323724776,True
195,hockey,musician,-0.29898615959132324,0.0909164195968146,False
196,hockey,nurse,0.443737240272456,-0.07192292271927113,False
197,hockey,painter,-0.7337598560272487,-0.11841174458248725,True
