index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne
mechanic,0.33557351156549653,0.12838738648095768,-0.5347247372766134,-0.28101829106561543,0.19769846632781649,-0.09034225753368115,0.26720498708632084,0.05196663013089774,-0.3200910995101575,0.028078313116151186,-0.1479412155155698,0.019741223219594525,-0.7831555315220247,-0.30022671595959854,-0.3045116227390353,-0.00939772539689868,-0.29238321610233337,-1.5194227594619876
musician,-0.6854451665495617,-0.6865122012655824,-0.7998267816585821,-0.6452735620325298,-1.0913942615214662,0.02451226696199898,0.10800474433831996,-0.4093548531366947,-0.5011583154411143,0.3908995154638194,0.31283382522964864,0.15073667685810407,0.19611845348323717,-0.2799362289054917,0.3785270730888867,0.16339015709901636,0.3327914928329527,-0.029737179837850364
nurse,0.6102790993085918,0.016062297263958678,0.343520998012866,0.1348625911175276,0.6588100949379717,-0.265421803895246,0.010093632620257725,-0.24985756481139498,-0.5227918396053105,-0.09161129426339525,-0.3906752536528968,-0.39679410896322304,-0.4701659892038458,-0.35265481109173863,-0.48378588455288796,-0.22829904144521587,-0.6034089742717231,-0.8876197147483197
painter,-0.24512751754308681,-0.03954127981385886,0.004275841171589472,-0.5370293800193642,-0.5614615854918797,-0.2180799077642892,-0.2773559956474568,-0.24523753548669605,-0.49387129189718215,0.03617268260719093,-0.10780414919256937,-0.28068206907459275,0.7329830447071367,-0.06473519228405256,0.38399014966815204,0.17997358143947625,-0.1647378425704457,0.03596557334358488
philosopher,0.13604192508310212,-0.3019108073158898,0.48050841542630496,-0.2862039488451338,-0.40707519858390373,-0.7104541107378015,0.0572181905744239,-0.45588586733999087,-0.6531606904626923,-0.41991187833001126,-0.33506794558704917,-0.4185748098194655,1.1628597207273321,-0.46446139072004894,-0.014997245157074438,-0.2958199704502181,-0.47443478926235877,0.3711072351744538
photographer,-0.5557986296511466,-0.05690534634808999,-0.5667620419797722,-0.31135640554805144,-0.8566128012328456,0.1797231408568295,0.07899652809320251,-0.22403215017464298,0.028187536718632993,0.11217541095998197,-0.059995930609684486,-0.4377831177483266,0.26014221826465306,-0.2635388559292344,0.7735033361239413,-0.12565043926768654,-0.22553769931388776,0.48792246507821485
pilot,0.11234641596429382,0.10825890822792669,-0.3243458545125208,-0.04767964184439577,-0.29051605423191734,-0.19283052776048604,0.21000016732441235,-0.28546965728836304,-0.16343279611291375,-0.38258497556904075,-0.6355024386817129,-0.18994052390801083,-0.4746678146673245,-0.05875295630524671,-0.08971613268647437,-0.21438483218606733,-0.39152275755904675,-0.10667890468222511
policeman,-0.2798141598604002,-0.14086334928336475,-0.1569280473007353,-0.9563439553237145,-0.450692229543717,-0.5788770250532348,-0.834190063471176,-0.7771526432855556,-1.0137143626701393,0.05907569135909576,-0.12331425734467977,-0.284428021694223,-0.7737725728190392,0.17445111524110277,-0.30352221954309255,0.1756792729659114,-0.3856462246503324,-1.1886292044334823
politician,-0.29253026244544866,-0.07109497156733556,-0.17447249714458346,-0.381872476547681,-0.57022659509739,-0.4218216265286026,-0.23256547972769764,-0.2610320804287457,-0.21915916979676248,-0.1824816362653827,-0.08324366793057447,-0.1877257999012005,0.05036214752839199,-0.09841409524411679,-0.26655821231163895,-0.07872291865852443,0.09789086424725912,-0.02111921506667597
professor,0.01607625568044469,0.30986059002807925,0.2968916012102111,-0.4334357540113472,-0.26023501717463876,-0.07778691720793345,-0.17670539884008923,-0.3770664103557681,-0.5064752770366675,-0.3627091972447593,-0.4194951151538008,-0.3830718012600065,0.06270197200553308,-0.34085442212321043,0.054252090722050055,-0.10836948373644748,-0.5018699076140231,0.1434552398205273
programmer,-0.47388614090150116,-0.007358757893459675,-0.3053074249744265,0.1619139380057017,-0.15101696442057827,0.3083958964182262,0.5067827297391474,0.06693710564961469,-0.08573048298964608,-0.036618334722471974,-0.5270980193042328,-0.5549654089146551,-0.6867081365262758,-0.4603382390725713,0.1194383622388356,-0.10029939919351374,-1.3133154359751125,-1.2588953810222947
